subject,event,event_n,channel,hemis,area,subarea,tauorg,tauimp,pernan
A1i7n,eyes_open,3,E1,Right,Frontalpole,Fp2,0.592307954,0.592307954,0
A1i7n,eyes_open,3,E2,Right,Frontalpole,Fp2,0.546588499,0.546588499,0
A1i7n,eyes_open,3,E3,Right,Frontal,F4,0.402140031,0.402140031,0
A1i7n,eyes_open,3,E4,Central,Frontal,Fz,0.398380814,0.398380814,0
A1i7n,eyes_open,3,E5,Central,Frontal,Fz,0.441425102,0.441425102,0
A1i7n,eyes_open,3,E6,Central,Central,Cz,0.246356662,0.246356662,0
A1i7n,eyes_open,3,E7,Central,Central,Cz,0.073425728,0.073425728,0
A1i7n,eyes_open,3,E8,Right,Frontalpole,Fp2,0.515985874,0.515985874,0
A1i7n,eyes_open,3,E9,Right,Frontalpole,Fp2,0.365546658,0.365546658,0
A1i7n,eyes_open,3,E10,Central,Frontal,Fz,0.250665669,0.250665669,0
A1i7n,eyes_open,3,E11,Central,Frontal,Fz,0.16595137,0.16595137,0
A1i7n,eyes_open,3,E12,Central,Frontal,Fz,0.416086975,0.416086975,0
A1i7n,eyes_open,3,E13,Central,Central,Cz,0.095479709,0.095479709,0
A1i7n,eyes_open,3,E14,Central,Frontalpole,Fpz,8.14068E-05,8.14068E-05,0
A1i7n,eyes_open,3,E15,Central,Frontalpole,Fpz,0.241572474,0.241572474,0
A1i7n,eyes_open,3,E16,Central,Frontal,Fz,0.166404151,0.166404151,0
A1i7n,eyes_open,3,E18,Central,Frontal,Fz,0.300105655,0.300105655,0
A1i7n,eyes_open,3,E19,Central,Frontal,Fz,0.134742632,0.134742632,0
A1i7n,eyes_open,3,E20,Left,Frontal,F3,0.115429694,0.115429694,0
A1i7n,eyes_open,3,E21,Central,Frontalpole,Fpz,0.092893051,0.092893051,0
A1i7n,eyes_open,3,E22,Left,Frontalpole,Fp1,0.368237447,0.368237447,0
A1i7n,eyes_open,3,E23,Left,Frontal,F3,0.296405057,0.296405057,0
A1i7n,eyes_open,3,E24,Left,Frontal,F3,0.113344376,0.113344376,0
A1i7n,eyes_open,3,E25,Left,Frontalpole,Fp1,0.09445851,0.09445851,0
A1i7n,eyes_open,3,E26,Left,Frontalpole,Fp1,0.379058582,0.379058582,0
A1i7n,eyes_open,3,E27,Left,Frontal,F3,0.128587686,0.128587686,0
A1i7n,eyes_open,3,E28,Left,Frontal,F3,0.134494211,0.134494211,0
A1i7n,eyes_open,3,E29,Left,Central,C3,0.060915374,0.060915374,0
